borrower_id,age,annual_income_eur,loan_amount_eur,loan_type,lti_ratio,ltv_ratio,tenure_years,rate_type,employment_sector,credit_score,probability_of_default,risk_grade,monthly_repayment_eur,dti_monthly_ratio,ecb_shock_monthly_eur,affordability_stress
2848,39,135881,155772,Mortgage,1.15,0.5,10,Tracker,Employed,589,0.0638,C – Standard,1314,0.116,584,Comfortable
2849,34,51175,198067,Mortgage,3.87,0.593,27,Variable,Other,791,0.0857,C – Standard,1671,0.392,297,Stretched
2850,38,90578,248009,Mortgage,2.74,0.519,4,Variable,Retired,768,0.0485,B – Near Prime,2092,0.277,372,Comfortable
2851,30,35920,145629,Mortgage,4.05,0.849,28,Fixed,Self-Employed,557,0.1014,D – Substandard,1228,0.41,0,Stressed
2852,40,48161,96353,Personal Loan,2.0,0.716,24,Variable,Self-Employed,639,0.0982,C – Standard,813,0.203,144,Comfortable
2853,27,63590,115445,Personal Loan,1.82,0.451,25,Fixed,Employed,816,0.0593,C – Standard,974,0.184,0,Comfortable
2854,26,57923,157539,Mortgage,2.72,0.721,17,Fixed,Employed,410,0.077,C – Standard,1329,0.275,0,Comfortable
2855,55,35529,258904,Mortgage,7.29,0.691,4,Fixed,Public Sector,728,0.1681,D – Substandard,2184,0.738,0,Stressed
2856,25,34891,359488,Mortgage,10.3,0.772,29,Fixed,Employed,499,0.1604,D – Substandard,3033,1.043,0,Stressed
2857,48,74241,85320,Mortgage,1.15,0.467,4,Tracker,Employed,351,0.0767,C – Standard,719,0.116,319,Comfortable
2858,57,80858,129503,Personal Loan,1.6,0.468,17,Tracker,Employed,529,0.0933,C – Standard,1092,0.162,485,Comfortable
2859,55,92512,147735,Mortgage,1.6,0.625,6,Fixed,Self-Employed,584,0.0531,C – Standard,1246,0.162,0,Comfortable
2860,42,104574,278478,Car Finance,2.66,0.794,29,Variable,Self-Employed,706,0.09,C – Standard,2349,0.27,417,Comfortable
2861,30,51872,134529,Car Finance,2.59,0.783,20,Fixed,Employed,383,0.0773,C – Standard,1135,0.263,0,Comfortable
2862,64,43014,142009,Personal Loan,3.3,0.589,18,Fixed,Employed,601,0.0946,C – Standard,1198,0.334,0,Stretched
2863,60,86458,82735,Personal Loan,0.96,0.558,11,Variable,Public Sector,663,0.0852,C – Standard,698,0.097,124,Comfortable
2864,50,66137,234655,Car Finance,3.55,0.792,27,Variable,Employed,650,0.112,D – Substandard,1980,0.359,351,Stretched
2865,25,32447,164592,Mortgage,5.07,0.464,8,Variable,Employed,757,0.1352,D – Substandard,1388,0.513,246,Stressed
2866,23,31757,125526,Mortgage,3.95,0.728,25,Fixed,Employed,714,0.0878,C – Standard,1059,0.4,0,Stretched
2867,36,60271,155946,Mortgage,2.59,0.662,33,Fixed,Public Sector,555,0.0422,B – Near Prime,1315,0.262,0,Comfortable
2868,29,45503,334317,Mortgage,7.35,0.57,10,Fixed,Employed,450,0.1965,D – Substandard,2821,0.744,0,Stressed
2869,61,48479,103498,Mortgage,2.13,0.71,24,Fixed,Employed,784,0.0207,B – Near Prime,873,0.216,0,Comfortable
2870,31,76915,113219,Personal Loan,1.47,0.559,11,Fixed,Employed,785,0.0424,B – Near Prime,955,0.149,0,Comfortable
2871,35,67426,358161,Mortgage,5.31,0.732,32,Fixed,Employed,371,0.1538,D – Substandard,3022,0.538,0,Stressed
2872,66,85694,187526,Mortgage,2.19,0.524,31,Fixed,Retired,549,0.0391,B – Near Prime,1582,0.222,0,Comfortable
2873,59,21780,259981,Mortgage,11.94,0.653,11,Fixed,Public Sector,713,0.126,D – Substandard,2193,1.208,0,Stressed
2874,32,54525,224350,Mortgage,4.11,0.705,8,Variable,Self-Employed,663,0.1285,D – Substandard,1893,0.417,336,Stressed
2875,39,65628,176409,Personal Loan,2.69,0.466,3,Fixed,Employed,781,0.0518,C – Standard,1488,0.272,0,Comfortable
2876,45,25818,148514,Mortgage,5.75,0.755,24,Fixed,Employed,420,0.1614,D – Substandard,1253,0.582,0,Stressed
2877,52,37232,284178,Mortgage,7.63,0.825,32,Tracker,Self-Employed,817,0.1481,D – Substandard,2398,0.773,1065,Stressed
2878,65,34440,340879,Mortgage,9.9,0.928,5,Tracker,Employed,428,0.2061,E – Doubtful,2876,1.002,1278,Stressed
2879,62,49469,326538,Personal Loan,6.6,0.552,28,Fixed,Self-Employed,352,0.1835,D – Substandard,2755,0.668,0,Stressed
2880,66,97119,93712,Mortgage,0.96,0.554,26,Fixed,Employed,704,0.0443,B – Near Prime,790,0.098,0,Comfortable
2881,23,114632,368686,Personal Loan,3.22,0.602,17,Fixed,Self-Employed,810,0.1397,D – Substandard,3111,0.326,0,Stretched
2882,32,34821,147729,Car Finance,4.24,0.895,8,Tracker,Employed,492,0.1485,D – Substandard,1246,0.429,553,Stressed
2883,47,61154,118745,Mortgage,1.94,0.653,23,Fixed,Employed,387,0.0456,B – Near Prime,1002,0.197,0,Comfortable
2884,24,61987,163876,Mortgage,2.64,0.601,21,Fixed,Employed,781,0.0475,B – Near Prime,1382,0.268,0,Comfortable
2885,38,57687,284111,Personal Loan,4.93,0.821,28,Variable,Employed,352,0.2178,E – Doubtful,2397,0.499,426,Stressed
2886,29,57963,242136,Mortgage,4.18,0.469,20,Variable,Employed,665,0.1663,D – Substandard,2043,0.423,363,Stressed
2887,64,55690,156300,Car Finance,2.81,0.724,2,Fixed,Employed,369,0.1226,D – Substandard,1318,0.284,0,Stretched
2888,24,99586,285134,Personal Loan,2.86,0.675,7,Fixed,Other,665,0.0732,C – Standard,2406,0.29,0,Stretched
2889,28,77888,194254,Mortgage,2.49,0.762,13,Fixed,Employed,362,0.0857,C – Standard,1639,0.253,0,Comfortable
2890,30,31405,131250,Mortgage,4.18,0.816,17,Fixed,Employed,509,0.1125,D – Substandard,1107,0.423,0,Stressed
2891,28,68473,121854,Personal Loan,1.78,0.612,12,Fixed,Employed,555,0.089,C – Standard,1028,0.18,0,Comfortable
2892,48,71310,225399,Personal Loan,3.16,0.768,30,Tracker,Employed,796,0.1065,D – Substandard,1902,0.32,845,Stretched
2893,38,55954,171890,Mortgage,3.07,0.712,10,Variable,Public Sector,691,0.0714,C – Standard,1450,0.311,257,Stretched
2894,63,78841,84412,Personal Loan,1.07,0.517,24,Variable,Employed,819,0.0761,C – Standard,712,0.108,126,Comfortable
2895,33,53050,286627,Mortgage,5.4,0.891,13,Variable,Public Sector,596,0.1621,D – Substandard,2418,0.547,429,Stressed
2896,46,53326,138115,Car Finance,2.59,0.827,34,Fixed,Self-Employed,441,0.0782,C – Standard,1165,0.262,0,Comfortable
2897,52,51581,431777,Car Finance,8.37,0.911,32,Fixed,Employed,533,0.2243,E – Doubtful,3643,0.848,0,Stressed
2898,50,21001,83146,Mortgage,3.96,0.81,27,Variable,Employed,583,0.0995,C – Standard,701,0.401,124,Stressed
2899,58,47393,162854,Mortgage,3.44,0.572,27,Fixed,Employed,610,0.0965,C – Standard,1374,0.348,0,Stretched
2900,31,37024,122395,Mortgage,3.31,0.665,22,Fixed,Employed,798,0.0465,B – Near Prime,1032,0.334,0,Stretched
2901,45,29782,105189,Car Finance,3.53,0.643,20,Fixed,Employed,793,0.0702,C – Standard,887,0.357,0,Stretched
2902,58,89526,137621,Mortgage,1.54,0.468,20,Variable,Self-Employed,355,0.0847,C – Standard,1161,0.156,206,Comfortable
2903,61,60582,476304,Mortgage,7.86,0.655,1,Variable,Self-Employed,736,0.1456,D – Substandard,4019,0.796,714,Stressed
2904,50,48410,194629,Personal Loan,4.02,0.623,32,Fixed,Employed,463,0.1076,D – Substandard,1642,0.407,0,Stressed
2905,51,38668,116373,Mortgage,3.01,0.452,34,Fixed,Self-Employed,623,0.0834,C – Standard,982,0.305,0,Stretched
2906,61,55514,65792,Mortgage,1.19,0.874,18,Tracker,Public Sector,824,0.0429,B – Near Prime,555,0.12,246,Comfortable
2907,50,74339,69790,Personal Loan,0.94,0.522,30,Fixed,Employed,785,0.0698,C – Standard,588,0.095,0,Comfortable
2908,65,34636,133912,Personal Loan,3.87,0.7,14,Fixed,Employed,566,0.1271,D – Substandard,1130,0.392,0,Stretched
2909,27,48921,126940,Personal Loan,2.59,0.842,4,Variable,Employed,325,0.1068,D – Substandard,1071,0.263,190,Comfortable
2910,38,70586,159017,Mortgage,2.25,0.752,29,Variable,Employed,823,0.0323,B – Near Prime,1341,0.228,238,Comfortable
2911,27,21739,51549,Personal Loan,2.37,0.535,18,Fixed,Employed,799,0.0426,B – Near Prime,434,0.24,0,Comfortable
2912,26,47849,171026,Personal Loan,3.57,0.759,32,Fixed,Employed,509,0.123,D – Substandard,1443,0.362,0,Stretched
2913,43,40933,316554,Mortgage,7.73,0.829,8,Tracker,Public Sector,375,0.1952,D – Substandard,2671,0.783,1187,Stressed
2914,32,46341,439135,Credit Card,9.48,0.877,17,Fixed,Employed,590,0.1821,D – Substandard,3705,0.959,0,Stressed
2915,40,39708,63452,Mortgage,1.6,0.609,23,Tracker,Self-Employed,740,0.0569,C – Standard,535,0.162,237,Comfortable
2916,42,51937,115755,Mortgage,2.23,0.467,5,Variable,Employed,549,0.0666,C – Standard,976,0.226,173,Comfortable
2917,50,109965,112439,Car Finance,1.02,0.754,34,Tracker,Employed,311,0.0963,C – Standard,948,0.103,421,Comfortable
2918,65,42785,194881,Mortgage,4.55,0.563,21,Fixed,Employed,551,0.1384,D – Substandard,1644,0.461,0,Stressed
2919,61,55410,91961,Car Finance,1.66,0.84,6,Fixed,Employed,583,0.0585,C – Standard,776,0.168,0,Comfortable
2920,39,113299,453724,Mortgage,4.0,0.79,26,Fixed,Employed,804,0.0676,C – Standard,3828,0.405,0,Stressed
2921,36,38909,184229,Mortgage,4.73,0.837,30,Fixed,Employed,744,0.1161,D – Substandard,1554,0.479,0,Stressed
2922,57,105047,168092,Mortgage,1.6,0.934,13,Fixed,Self-Employed,682,0.043,B – Near Prime,1418,0.162,0,Comfortable
2923,27,49130,431918,Mortgage,8.79,0.742,21,Fixed,Employed,522,0.1508,D – Substandard,3644,0.89,0,Stressed
2924,46,103610,178291,Car Finance,1.72,0.902,26,Fixed,Employed,820,0.0357,B – Near Prime,1504,0.174,0,Comfortable
2925,41,67176,224171,Car Finance,3.34,0.771,5,Variable,Employed,427,0.0821,C – Standard,1891,0.338,336,Stretched
2926,30,55769,119021,Personal Loan,2.13,0.541,19,Fixed,Employed,481,0.0807,C – Standard,1004,0.216,0,Comfortable
2927,50,47688,84645,Mortgage,1.77,0.85,20,Fixed,Employed,765,0.0299,B – Near Prime,714,0.18,0,Comfortable
2928,36,37718,128579,Mortgage,3.41,0.797,11,Fixed,Employed,846,0.0514,C – Standard,1085,0.345,0,Stretched
2929,30,50606,598892,Mortgage,11.83,0.939,11,Variable,Employed,748,0.1897,D – Substandard,5053,1.198,898,Stressed
2930,52,71459,254781,Mortgage,3.57,0.572,22,Fixed,Employed,689,0.056,C – Standard,2149,0.361,0,Stretched
2931,30,48751,209189,Mortgage,4.29,0.617,26,Variable,Retired,815,0.0837,C – Standard,1765,0.434,313,Stressed
2932,52,42916,105134,Mortgage,2.45,0.861,14,Fixed,Public Sector,372,0.0758,C – Standard,887,0.248,0,Comfortable
2933,29,44120,296911,Mortgage,6.73,0.481,5,Variable,Employed,668,0.2508,E – Doubtful,2505,0.681,445,Stressed
2934,41,74372,85243,Personal Loan,1.15,0.767,27,Variable,Employed,527,0.0922,C – Standard,719,0.116,127,Comfortable
2935,59,82007,75971,Mortgage,0.93,0.718,6,Fixed,Public Sector,628,0.0364,B – Near Prime,641,0.094,0,Comfortable
2936,32,37041,132271,Mortgage,3.57,0.534,1,Variable,Employed,436,0.0964,C – Standard,1116,0.362,198,Stretched
2937,57,37019,527007,Mortgage,14.24,0.533,11,Tracker,Employed,568,0.1645,D – Substandard,4447,1.442,1976,Stressed
2938,55,57487,510855,Personal Loan,8.89,0.855,28,Fixed,Self-Employed,429,0.2317,E – Doubtful,4310,0.9,0,Stressed
2939,63,93112,140339,Personal Loan,1.51,0.458,26,Fixed,Employed,653,0.0821,C – Standard,1184,0.153,0,Comfortable
2940,29,79325,124143,Mortgage,1.56,0.823,11,Tracker,Employed,811,0.0634,C – Standard,1047,0.158,465,Comfortable
2941,54,28975,72969,Car Finance,2.52,0.816,18,Tracker,Employed,332,0.1128,D – Substandard,615,0.255,273,Comfortable
2942,65,43874,187759,Personal Loan,4.28,0.775,33,Variable,Employed,827,0.1203,D – Substandard,1584,0.433,281,Stressed
2943,57,33161,196635,Mortgage,5.93,0.655,25,Fixed,Employed,662,0.1657,D – Substandard,1659,0.6,0,Stressed
2944,30,43811,277688,Mortgage,6.34,0.464,26,Fixed,Employed,307,0.1634,D – Substandard,2343,0.642,0,Stressed
2945,59,96168,296822,Credit Card,3.09,0.851,3,Tracker,Self-Employed,618,0.1608,D – Substandard,2504,0.312,1113,Stretched
2946,26,26970,161363,Mortgage,5.98,0.513,9,Variable,Employed,375,0.2221,E – Doubtful,1361,0.606,242,Stressed
2947,49,24836,244217,Mortgage,9.83,0.59,4,Fixed,Employed,741,0.1334,D – Substandard,2060,0.995,0,Stressed
2948,44,34613,122350,Personal Loan,3.53,0.923,34,Fixed,Employed,452,0.1121,D – Substandard,1032,0.358,0,Stretched
2949,46,55307,241680,Mortgage,4.37,0.601,12,Variable,Retired,331,0.1541,D – Substandard,2039,0.442,362,Stressed
2950,45,63622,136083,Personal Loan,2.14,0.578,17,Variable,Employed,766,0.0607,C – Standard,1148,0.217,204,Comfortable
2951,23,58907,231584,Personal Loan,3.93,0.937,19,Tracker,Employed,595,0.1744,D – Substandard,1954,0.398,868,Stretched
2952,45,80321,221499,Car Finance,2.76,0.493,18,Fixed,Self-Employed,636,0.0824,C – Standard,1869,0.279,0,Comfortable
2953,65,23376,186809,Personal Loan,7.99,0.53,2,Fixed,Employed,757,0.2168,E – Doubtful,1576,0.809,0,Stressed
2954,42,80749,278450,Personal Loan,3.45,0.669,31,Fixed,Employed,610,0.1109,D – Substandard,2349,0.349,0,Stretched
2955,34,42998,75832,Mortgage,1.76,0.844,13,Fixed,Employed,737,0.035,B – Near Prime,639,0.178,0,Comfortable
2956,67,66651,100137,Car Finance,1.5,0.892,32,Fixed,Other,629,0.0725,C – Standard,845,0.152,0,Comfortable
2957,26,28117,155044,Mortgage,5.51,0.828,27,Fixed,Self-Employed,315,0.2081,E – Doubtful,1308,0.558,0,Stressed
2958,44,49122,81324,Mortgage,1.66,0.938,24,Fixed,Employed,822,0.0351,B – Near Prime,686,0.168,0,Comfortable
2959,45,54134,143806,Credit Card,2.66,0.458,24,Fixed,Public Sector,827,0.0727,C – Standard,1213,0.269,0,Comfortable
2960,43,79651,146378,Credit Card,1.84,0.76,34,Tracker,Self-Employed,451,0.1503,D – Substandard,1235,0.186,548,Comfortable
2961,64,25189,369655,Mortgage,14.68,0.508,11,Fixed,Employed,657,0.1411,D – Substandard,3119,1.486,0,Stressed
2962,41,49658,194540,Mortgage,3.92,0.905,12,Fixed,Employed,367,0.1668,D – Substandard,1641,0.397,0,Stretched
2963,66,31076,316850,Mortgage,10.2,0.918,23,Variable,Employed,456,0.2082,E – Doubtful,2673,1.032,475,Stressed
2964,25,60615,212335,Personal Loan,3.5,0.602,8,Fixed,Employed,634,0.1177,D – Substandard,1791,0.355,0,Stretched
2965,55,67943,133971,Mortgage,1.97,0.864,28,Fixed,Public Sector,491,0.0507,C – Standard,1130,0.2,0,Comfortable
2966,49,84171,193598,Mortgage,2.3,0.765,1,Tracker,Employed,832,0.0508,C – Standard,1633,0.233,725,Comfortable
2967,33,39155,268655,Mortgage,6.86,0.5,31,Variable,Employed,343,0.1576,D – Substandard,2267,0.695,402,Stressed
2968,32,72361,346753,Car Finance,4.79,0.751,12,Fixed,Employed,690,0.1201,D – Substandard,2926,0.485,0,Stressed
2969,55,86818,167247,Credit Card,1.93,0.938,1,Tracker,Employed,637,0.1378,D – Substandard,1411,0.195,627,Comfortable
2970,51,24583,72683,Credit Card,2.96,0.604,21,Tracker,Other,790,0.1283,D – Substandard,613,0.299,272,Stretched
2971,50,63397,69927,Personal Loan,1.1,0.451,10,Tracker,Employed,744,0.0653,C – Standard,590,0.112,262,Comfortable
2972,24,73318,150312,Mortgage,2.05,0.938,11,Fixed,Employed,792,0.0463,B – Near Prime,1268,0.208,0,Comfortable
2973,49,43973,49719,Mortgage,1.13,0.657,17,Variable,Self-Employed,736,0.0531,C – Standard,419,0.114,74,Comfortable
2974,67,29480,482775,Mortgage,16.38,0.665,20,Fixed,Public Sector,420,0.182,D – Substandard,4073,1.658,0,Stressed
2975,22,72841,249774,Mortgage,3.43,0.806,5,Fixed,Employed,533,0.1244,D – Substandard,2107,0.347,0,Stretched
2976,43,29620,126802,Personal Loan,4.28,0.752,2,Fixed,Employed,677,0.1404,D – Substandard,1070,0.433,0,Stressed
2977,44,45482,97703,Mortgage,2.15,0.601,16,Tracker,Self-Employed,849,0.0633,C – Standard,824,0.217,366,Comfortable
2978,63,48201,316622,Car Finance,6.57,0.5,13,Fixed,Employed,774,0.1525,D – Substandard,2671,0.665,0,Stressed
2979,35,66205,97489,Mortgage,1.47,0.864,20,Tracker,Self-Employed,657,0.0849,C – Standard,822,0.149,365,Comfortable
2980,43,37677,102741,Mortgage,2.73,0.692,26,Tracker,Self-Employed,355,0.0823,C – Standard,866,0.276,385,Comfortable
2981,54,36771,118034,Personal Loan,3.21,0.786,21,Fixed,Public Sector,531,0.1031,D – Substandard,996,0.325,0,Stretched
2982,24,51100,191520,Personal Loan,3.75,0.88,4,Fixed,Retired,658,0.1362,D – Substandard,1616,0.379,0,Stretched
2983,58,74808,253074,Mortgage,3.38,0.459,34,Tracker,Retired,724,0.1066,D – Substandard,2135,0.342,949,Stretched
2984,59,128120,346614,Personal Loan,2.71,0.88,25,Fixed,Employed,449,0.1195,D – Substandard,2924,0.274,0,Comfortable
2985,55,26026,319570,Personal Loan,12.28,0.826,2,Variable,Public Sector,557,0.1976,D – Substandard,2696,1.243,479,Stressed
2986,51,55962,179948,Mortgage,3.22,0.923,26,Fixed,Self-Employed,751,0.0746,C – Standard,1518,0.326,0,Stretched
2987,56,31059,315302,Mortgage,10.15,0.567,30,Fixed,Employed,758,0.1271,D – Substandard,2660,1.028,0,Stressed
2988,57,75199,124361,Car Finance,1.65,0.611,20,Fixed,Retired,422,0.0613,C – Standard,1049,0.167,0,Comfortable
2989,63,33051,66073,Mortgage,2.0,0.781,29,Fixed,Public Sector,439,0.0731,C – Standard,557,0.202,0,Comfortable
2990,41,36925,124352,Mortgage,3.37,0.913,31,Tracker,Public Sector,505,0.1192,D – Substandard,1049,0.341,466,Stretched
2991,42,38273,115445,Mortgage,3.02,0.946,33,Fixed,Employed,654,0.0737,C – Standard,974,0.305,0,Stretched
2992,51,47476,127059,Personal Loan,2.68,0.658,33,Fixed,Employed,672,0.0728,C – Standard,1072,0.271,0,Comfortable
2993,30,56147,106121,Credit Card,1.89,0.72,7,Variable,Retired,717,0.0793,C – Standard,895,0.191,159,Comfortable
2994,61,60063,139579,Mortgage,2.32,0.535,2,Tracker,Other,605,0.0682,C – Standard,1177,0.235,523,Comfortable
2995,57,48902,252965,Car Finance,5.17,0.797,23,Fixed,Employed,804,0.1544,D – Substandard,2134,0.524,0,Stressed
2996,51,28041,462032,Car Finance,16.48,0.869,24,Variable,Employed,365,0.1876,D – Substandard,3898,1.668,693,Stressed
2997,35,66547,69637,Mortgage,1.05,0.849,20,Fixed,Self-Employed,588,0.0502,C – Standard,587,0.106,0,Comfortable
2998,37,47942,88587,Personal Loan,1.85,0.623,9,Tracker,Employed,423,0.0833,C – Standard,747,0.187,332,Comfortable
2999,42,79851,116390,Credit Card,1.46,0.932,33,Variable,Self-Employed,596,0.1577,D – Substandard,982,0.148,174,Comfortable
3000,52,36415,274075,Credit Card,7.53,0.51,14,Tracker,Other,787,0.2134,E – Doubtful,2312,0.762,1027,Stressed
3001,57,25010,160697,Personal Loan,6.43,0.697,26,Variable,Employed,786,0.1865,D – Substandard,1356,0.651,241,Stressed
3002,52,48325,120781,Mortgage,2.5,0.727,22,Tracker,Public Sector,843,0.031,B – Near Prime,1019,0.253,452,Comfortable
3003,64,84482,266786,Mortgage,3.16,0.718,31,Fixed,Employed,569,0.0775,C – Standard,2251,0.32,0,Stretched
3004,66,52448,304374,Mortgage,5.8,0.829,25,Variable,Employed,681,0.1693,D – Substandard,2568,0.588,456,Stressed
3005,54,45077,178025,Personal Loan,3.95,0.755,22,Variable,Employed,562,0.1468,D – Substandard,1502,0.4,267,Stretched
3006,39,34011,114815,Mortgage,3.38,0.489,29,Fixed,Self-Employed,305,0.1061,D – Substandard,968,0.342,0,Stretched
3007,49,102566,208700,Personal Loan,2.03,0.54,2,Tracker,Public Sector,455,0.1028,D – Substandard,1761,0.206,782,Comfortable
3008,41,31810,158213,Personal Loan,4.97,0.716,24,Variable,Employed,708,0.153,D – Substandard,1335,0.504,237,Stressed
3009,50,36146,157541,Mortgage,4.36,0.797,20,Tracker,Retired,329,0.1551,D – Substandard,1329,0.441,590,Stressed
3010,59,62281,135697,Car Finance,2.18,0.707,27,Fixed,Employed,653,0.043,B – Near Prime,1145,0.221,0,Comfortable
3011,38,22482,299162,Mortgage,13.31,0.628,8,Tracker,Retired,552,0.181,D – Substandard,2524,1.347,1121,Stressed
3012,45,83727,206371,Mortgage,2.46,0.476,21,Fixed,Self-Employed,526,0.063,C – Standard,1741,0.25,0,Comfortable
3013,24,63714,317945,Car Finance,4.99,0.843,10,Tracker,Employed,704,0.1696,D – Substandard,2683,0.505,1192,Stressed
3014,55,71516,375111,Mortgage,5.25,0.699,4,Fixed,Employed,425,0.158,D – Substandard,3165,0.531,0,Stressed
3015,44,61970,231524,Mortgage,3.74,0.719,20,Variable,Employed,442,0.1147,D – Substandard,1953,0.378,347,Stretched
3016,43,45813,136139,Credit Card,2.97,0.684,1,Fixed,Employed,391,0.1354,D – Substandard,1148,0.301,0,Stretched
3017,46,31365,318755,Car Finance,10.16,0.583,4,Variable,Retired,359,0.1995,D – Substandard,2689,1.029,478,Stressed
3018,31,46220,232376,Car Finance,5.03,0.588,19,Fixed,Public Sector,345,0.1503,D – Substandard,1960,0.509,0,Stressed
3019,49,32545,600000,Mortgage,18.44,0.482,31,Tracker,Employed,357,0.1991,D – Substandard,5063,1.867,2250,Stressed
3020,56,60125,213321,Mortgage,3.55,0.804,25,Tracker,Employed,651,0.1087,D – Substandard,1800,0.359,799,Stretched
3021,38,68792,264006,Mortgage,3.84,0.586,1,Fixed,Employed,464,0.0828,C – Standard,2227,0.388,0,Stretched
3022,28,91149,211025,Mortgage,2.32,0.599,4,Tracker,Public Sector,485,0.0663,C – Standard,1780,0.234,791,Comfortable
3023,39,57304,170330,Credit Card,2.97,0.947,15,Variable,Public Sector,714,0.1148,D – Substandard,1437,0.301,255,Stretched
3024,31,72281,156008,Mortgage,2.16,0.643,15,Fixed,Employed,584,0.0365,B – Near Prime,1316,0.218,0,Comfortable
3025,39,43269,211469,Personal Loan,4.89,0.705,2,Fixed,Employed,342,0.1297,D – Substandard,1784,0.495,0,Stressed
3026,50,40099,239580,Mortgage,5.97,0.643,9,Fixed,Employed,588,0.1714,D – Substandard,2021,0.605,0,Stressed
3027,27,59810,339392,Personal Loan,5.67,0.595,5,Fixed,Employed,663,0.1878,D – Substandard,2863,0.574,0,Stressed
3028,56,41676,213174,Mortgage,5.12,0.453,20,Fixed,Employed,634,0.0971,C – Standard,1798,0.518,0,Stressed
3029,32,54888,139442,Mortgage,2.54,0.877,23,Fixed,Employed,777,0.0281,B – Near Prime,1176,0.257,0,Comfortable
3030,63,31391,150276,Mortgage,4.79,0.687,14,Fixed,Public Sector,627,0.1277,D – Substandard,1268,0.485,0,Stressed
3031,55,33850,86888,Car Finance,2.57,0.81,20,Tracker,Employed,746,0.0496,B – Near Prime,733,0.26,325,Comfortable
3032,34,64014,448501,Personal Loan,7.01,0.929,7,Fixed,Other,585,0.2439,E – Doubtful,3784,0.709,0,Stressed
3033,47,71140,133566,Personal Loan,1.88,0.451,29,Tracker,Public Sector,650,0.0813,C – Standard,1127,0.19,500,Comfortable
3034,27,32403,306230,Mortgage,9.45,0.788,1,Tracker,Employed,385,0.2349,E – Doubtful,2584,0.957,1148,Stressed
3035,26,64968,209421,Personal Loan,3.22,0.509,18,Variable,Employed,845,0.0853,C – Standard,1767,0.326,314,Stretched
3036,65,39192,212575,Personal Loan,5.42,0.679,11,Fixed,Employed,314,0.2254,E – Doubtful,1793,0.549,0,Stressed
3037,58,49361,168620,Mortgage,3.42,0.873,16,Fixed,Self-Employed,832,0.0739,C – Standard,1422,0.346,0,Stretched
3038,29,88886,116624,Personal Loan,1.31,0.486,18,Tracker,Employed,616,0.0942,C – Standard,984,0.133,437,Comfortable
3039,35,68812,105588,Car Finance,1.53,0.945,22,Variable,Retired,485,0.0917,C – Standard,891,0.155,158,Comfortable
3040,31,68477,465401,Credit Card,6.8,0.74,32,Tracker,Public Sector,532,0.2325,E – Doubtful,3927,0.688,1745,Stressed
3041,40,109282,191506,Credit Card,1.75,0.647,20,Fixed,Employed,342,0.125,D – Substandard,1616,0.177,0,Comfortable
3042,35,36474,334000,Mortgage,9.16,0.46,8,Variable,Employed,525,0.1787,D – Substandard,2818,0.927,501,Stressed
3043,37,32400,385269,Mortgage,11.89,0.743,18,Fixed,Employed,339,0.1661,D – Substandard,3251,1.204,0,Stressed
3044,46,36196,143491,Mortgage,3.96,0.697,18,Variable,Employed,536,0.1276,D – Substandard,1210,0.401,215,Stressed
3045,30,44051,227050,Mortgage,5.15,0.558,30,Variable,Employed,375,0.2032,E – Doubtful,1915,0.522,340,Stressed
3046,62,18234,184380,Mortgage,10.11,0.695,20,Fixed,Public Sector,362,0.1865,D – Substandard,1555,1.023,0,Stressed
3047,55,44930,95180,Mortgage,2.12,0.456,30,Fixed,Employed,691,0.035,B – Near Prime,803,0.214,0,Comfortable
3048,56,38998,162427,Personal Loan,4.17,0.95,23,Fixed,Employed,398,0.1572,D – Substandard,1370,0.422,0,Stressed
3049,29,68130,248482,Personal Loan,3.65,0.616,20,Fixed,Public Sector,484,0.1314,D – Substandard,2096,0.369,0,Stretched
3050,54,56841,136698,Personal Loan,2.4,0.69,12,Fixed,Self-Employed,664,0.076,C – Standard,1153,0.243,0,Comfortable
3051,60,38090,150442,Credit Card,3.95,0.842,9,Fixed,Employed,577,0.1535,D – Substandard,1269,0.4,0,Stretched
3052,30,62804,163513,Mortgage,2.6,0.806,4,Fixed,Employed,582,0.0441,B – Near Prime,1379,0.263,0,Comfortable
3053,56,66421,574549,Mortgage,8.65,0.894,19,Variable,Self-Employed,543,0.1824,D – Substandard,4848,0.876,861,Stressed
3054,38,35497,65596,Personal Loan,1.85,0.921,32,Variable,Employed,635,0.0745,C – Standard,553,0.187,98,Comfortable
3055,58,39852,237020,Personal Loan,5.95,0.545,1,Fixed,Employed,659,0.1813,D – Substandard,2000,0.602,0,Stressed
3056,44,19251,156476,Mortgage,8.13,0.645,33,Fixed,Self-Employed,371,0.2314,E – Doubtful,1320,0.823,0,Stressed
3057,58,31005,126454,Car Finance,4.08,0.793,30,Variable,Self-Employed,829,0.1438,D – Substandard,1067,0.413,189,Stressed
3058,28,35888,154379,Mortgage,4.3,0.473,15,Fixed,Employed,747,0.1177,D – Substandard,1302,0.435,0,Stressed
3059,39,50571,259641,Personal Loan,5.13,0.808,11,Fixed,Employed,533,0.2155,E – Doubtful,2190,0.52,0,Stressed
3060,34,32956,267931,Car Finance,8.13,0.452,20,Fixed,Self-Employed,504,0.1958,D – Substandard,2260,0.823,0,Stressed
3061,33,39511,199248,Mortgage,5.04,0.907,30,Tracker,Employed,699,0.1398,D – Substandard,1681,0.511,747,Stressed
